original,normalized
https://www.apsjobs.gov.au/s/job-details?title=general-manager-compliance-and-enforcement&Id=a05OY00000MMjwHYAT,https://www.apsjobs.gov.au/s/job-details?title=general-manager-compliance-and-enforcement&Id=a05OY00000MMjwHYAT
https://www.apsjobs.gov.au/s/job-details?title=el1-assistant-director-workplace-relations&Id=a05OY00000MM7SpYAL,https://www.apsjobs.gov.au/s/job-details?title=el1-assistant-director-workplace-relations&Id=a05OY00000MM7SpYAL
https://www.apsjobs.gov.au/s/job-details?title=assistant-director-whs-inclusion-wellbeing&Id=a05OY00000MM04kYAD,https://www.apsjobs.gov.au/s/job-details?title=assistant-director-whs-inclusion-wellbeing&Id=a05OY00000MM04kYAD
https://www.apsjobs.gov.au/s/job-details?title=director-international-group&Id=a05OY00000MLj77YAD,https://www.apsjobs.gov.au/s/job-details?title=director-international-group&Id=a05OY00000MLj77YAD
https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-programs-officer-regional-connectivity&Id=a05OY00000MLBTdYAP,https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-programs-officer-regional-connectivity&Id=a05OY00000MLBTdYAP
https://www.apsjobs.gov.au/s/job-details?title=senior-procurement-officer&Id=a05OY00000MHkBSYA1,https://www.apsjobs.gov.au/s/job-details?title=senior-procurement-officer&Id=a05OY00000MHkBSYA1
https://www.apsjobs.gov.au/s/job-details?title=el1-senior-lawyer-commercial-law&Id=a05OY00000M2V1SYAV,https://www.apsjobs.gov.au/s/job-details?title=el1-senior-lawyer-commercial-law&Id=a05OY00000M2V1SYAV
https://www.apsjobs.gov.au/s/job-details?title=finance-officer-assistant-accountant-102445-&Id=a05OY00000MFkSTYA1,https://www.apsjobs.gov.au/s/job-details?title=finance-officer-assistant-accountant-102445-&Id=a05OY00000MFkSTYA1
https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-project-officer-classification&Id=a05OY00000MDIyYYAX,https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-project-officer-classification&Id=a05OY00000MDIyYYAX
https://www.apsjobs.gov.au/s/job-details?title=director-conservation-science&Id=a05OY00000MCpgPYAT,https://www.apsjobs.gov.au/s/job-details?title=director-conservation-science&Id=a05OY00000MCpgPYAT
